technology_1,carrier_1,parameter,value,unit
bioConversionSyngas,biomass,useLow,0,GWh
bioConversionOil,biomass,useLow,0,GWh
bioConversionBiogas,biomass,useLow,0,GWh
bioConversionChp,biomass,useLow,0,GWh
bioConversionCoal,biomass,useLow,0,GWh
bioConversionHvc,biomass,useLow,0,GWh
networkHeat,biomass,useLow,0,GWh
spaceHeat,biomass,useLow,0,GWh
proHeat,biomass,useLow,0,GWh
bioConversionSyngas,biomass,useUp,999999,GWh
bioConversionOil,biomass,useUp,999999,GWh
bioConversionBiogas,biomass,useUp,999999,GWh
bioConversionChp,biomass,useUp,999999,GWh
bioConversionCoal,biomass,useUp,999999,GWh
bioConversionHvc,biomass,useUp,999999,GWh
networkHeat,biomass,useUp,999999,GWh
spaceHeat,biomass,useUp,999999,GWh
proHeat,biomass,useUp,999999,GWh
